@relation VBTest_1
@attribute m_x numeric
@attribute sd_x numeric
@attribute m_y numeric
@attribute sd_y numeric
@attribute m_z numeric
@attribute sd_z numeric
@attribute label {jumping,spiking,setting,recieving}
@data
87.2,129.98666,84.02,127.0146,76.64,110.24123,jumping
27.18,42.62876,149.98,212.47987,38.16,57.587685,jumping
119.56,171.30746,84.62,127.79544,74.12,116.9105,jumping
115.48,170.52873,71.22,118.59676,72.26,128.57744,jumping
32.48,64.61637,159.1,226.24931,49.94,76.19215,jumping
5.7,19.751778,167.22,235.48051,35.72,54.298134,jumping
91.74,135.47043,81.76,119.539024,78.08,111.208755,jumping
35.02,59.370323,165.14,233.28702,44.94,65.49292,jumping
120.26,173.39995,76.98,125.60054,73.94,126.74212,jumping
116.8,170.28148,79.82,120.803215,79.16,126.10156,jumping
20.4,44.15926,147.48,215.02548,42.9,69.70646,jumping
133.88,190.33467,85.88,131.15198,63.1,106.50808,jumping
54.94,85.226814,132.28,195.30093,58.64,84.028114,jumping
114.74,171.22452,77.32,121.61339,74.64,133.28026,jumping
31.94,56.7085,163.86,231.09299,49.26,73.21949,jumping
126.5,188.52849,78.46,115.44345,68.42,111.48262,jumping
31.76,60.09705,158.54,224.12389,46.2,67.97389,jumping
72.68,149.5837,113.5,195.75124,38.34,122.31101,spiking
72.8,145.69746,84.7,153.39081,16.56,45.286465,spiking
54.12,82.582214,105.42,149.68169,54.6,77.603386,spiking
64.72,149.0606,68.32,143.58324,59.48,137.64673,spiking
26.84,53.75469,123.14,176.42087,49.82,75.63978,spiking
109.5,190.84799,115.96,192.25609,28.82,101.95591,spiking
39.82,88.04653,108.18,189.0341,23.04,52.00156,spiking
66.24,100.16814,139.72,197.40385,56.74,80.11951,spiking
109.24,176.23459,97.46,150.61105,82.62,140.65573,spiking
40.4,78.95026,155.48,221.5059,28.8,46.39537,spiking
68.84,138.91745,92.0,163.06538,56.2,130.1884,spiking
48.94,110.973694,154.66,220.47874,48.56,85.4458,spiking
50.54,143.24596,80.42,159.73885,48.44,125.661705,spiking
107.12,167.8793,124.1,206.53993,59.14,128.85825,spiking
56.64,103.23557,106.4,159.39684,61.1,105.65757,spiking
31.6,82.92387,150.78,214.7037,78.6,130.89362,spiking
92.88,148.84213,148.0,214.04964,103.72,185.95137,spiking
75.94,166.00041,103.22,186.56609,46.86,85.380066,spiking
81.74,121.15142,117.86,167.95467,74.0,104.62508,spiking
69.28,155.7165,103.78,180.75731,44.66,125.163666,spiking
70.78,142.83018,89.56,155.6434,21.3,52.267075,spiking
58.2,143.36751,83.92,158.89514,35.98,124.12938,spiking
50.96,113.48236,109.7,166.58394,48.58,76.61622,spiking
73.06,158.15396,80.38,165.67633,47.38,115.357635,spiking
28.22,60.906857,134.6,193.5491,41.96,70.69076,spiking
76.7,118.25107,67.26,103.16578,61.96,95.03038,setting
71.82,118.79028,79.58,117.23136,52.62,78.26874,setting
38.24,60.444443,97.18,144.2257,51.3,77.020615,setting
70.88,121.75397,53.7,81.683136,61.84,89.99487,setting
71.48,134.13292,58.58,95.924934,71.6,111.36758,setting
59.78,109.34132,50.84,76.44083,60.78,87.53151,setting
96.44,143.9514,70.94,105.44528,53.44,80.736694,setting
80.68,123.47823,61.0,103.04567,59.3,85.23037,setting
89.38,151.25208,64.92,101.03602,44.66,70.22546,setting
41.58,70.987816,79.4,117.3258,102.04,144.77274,setting
86.48,143.48665,55.54,83.8035,67.6,102.231636,setting
75.94,140.66815,50.2,79.56054,70.18,109.024,setting
85.14,123.745605,74.48,106.73642,50.58,75.28452,setting
73.28,113.38234,67.2,104.24345,68.72,103.97372,setting
97.26,141.92682,71.78,104.32195,54.68,82.889275,setting
73.36,105.08166,60.14,86.56033,56.3,83.87825,setting
89.64,137.37564,68.14,112.906136,62.46,95.25802,setting
99.86,149.51007,131.78,189.58574,78.16,116.57413,recieving
98.36,156.9484,127.12,186.2724,72.6,108.44428,recieving
82.5,124.44558,143.06,204.09137,86.7,123.10724,recieving
80.42,113.691505,101.9,151.46376,82.82,121.40969,recieving
69.58,104.92642,114.94,165.90279,66.58,99.32694,recieving
78.16,112.136635,116.9,172.77223,83.54,119.89267,recieving
87.64,136.97278,144.62,206.55727,66.6,106.29876,recieving
98.12,156.20311,128.58,188.18166,67.08,102.02057,recieving
98.42,155.85864,129.74,191.48112,67.76,101.54571,recieving
95.3,155.11723,122.54,187.67181,64.24,92.60175,recieving
83.0,131.79808,116.28,172.03857,77.02,110.21731,recieving
89.54,135.77446,119.82,171.41412,75.02,114.76605,recieving
78.28,116.36574,124.52,186.46758,81.78,116.23572,recieving
81.92,124.54911,133.44,190.60135,85.74,122.491615,recieving
