@relation VBTrain
@attribute m_x numeric
@attribute sd_x numeric
@attribute m_y numeric
@attribute sd_y numeric
@attribute m_z numeric
@attribute sd_z numeric
@attribute label {jumping,spiking,setting,recieving}
@data
23.04,38.707672,74.02,119.129074,50.78,76.52191,jumping
22.34,41.58915,94.44,138.54376,40.8,63.006317,jumping
102.78,161.10756,90.98,139.94891,79.84,125.363365,jumping
112.88,170.33765,78.06,121.97613,76.9,133.89995,jumping
109.02,161.8367,79.2,112.76127,79.32,131.20328,jumping
14.76,27.463196,138.44,203.2489,40.88,62.8044,jumping
115.56,167.52739,70.28,107.6273,79.08,134.15005,jumping
118.74,170.35567,70.8,113.21155,78.1,133.11316,jumping
30.32,47.261086,162.38,229.76926,53.12,77.25724,jumping
118.9,173.65157,75.14,125.12884,74.34,132.99034,jumping
26.76,57.6908,144.8,210.51912,40.9,63.428326,jumping
124.6,177.3349,74.62,118.070145,73.64,124.98811,jumping
34.44,62.8903,133.86,205.25542,41.98,63.733017,jumping
117.7,166.89424,71.52,110.04159,76.66,127.70351,jumping
22.06,52.573917,135.14,200.81476,49.3,76.90978,jumping
111.24,160.34271,72.26,114.253174,75.08,138.60278,jumping
130.94,187.23306,74.12,120.20365,72.08,133.19403,jumping
22.06,53.81351,125.32,191.4753,36.48,60.5341,jumping
130.14,186.94766,73.56,118.0104,70.0,130.97203,jumping
30.36,49.722397,155.66,221.92108,55.42,81.21352,jumping
116.52,167.62666,71.38,111.94202,75.18,119.943115,jumping
34.56,74.33656,148.66,213.50854,45.3,67.524216,jumping
106.36,162.09164,81.2,125.73736,80.66,133.70355,jumping
26.28,49.73647,146.14,210.99617,55.24,84.76223,jumping
121.88,177.7464,67.4,110.50846,76.52,138.34433,jumping
30.8,60.67679,134.7,203.52107,47.5,68.60393,jumping
114.26,166.0092,69.38,109.44813,84.3,131.45905,jumping
17.96,36.272198,150.42,214.97697,37.74,59.410313,jumping
23.1,40.449635,138.66,204.97787,48.04,71.311035,jumping
132.62,189.95006,79.96,125.54908,57.78,114.19447,jumping
32.64,61.793846,135.54,204.23618,46.32,69.63063,jumping
126.16,181.10593,69.78,110.19912,71.64,133.83554,jumping
29.9,66.21278,132.28,199.16992,39.4,62.535873,jumping
126.38,182.33562,72.86,116.75283,74.96,138.06831,jumping
24.72,48.129524,156.68,223.8706,36.8,58.105812,jumping
126.84,181.22354,70.86,108.274216,75.54,129.72266,jumping
37.02,57.402092,162.0,228.86757,45.92,69.53601,jumping
125.38,187.04085,70.56,111.16326,74.08,129.44746,jumping
35.8,61.379383,164.7,232.65585,54.08,84.222694,jumping
122.06,178.93713,67.14,108.95607,76.6,131.12497,jumping
111.94,164.78436,66.88,104.19932,77.18,138.71947,jumping
108.86,167.59856,74.34,114.741844,71.2,133.64497,jumping
29.84,54.653404,142.0,209.13243,46.8,70.82113,jumping
118.74,173.27373,76.76,117.76361,71.74,131.45525,jumping
23.6,47.656075,148.16,213.89452,33.9,55.79307,jumping
128.7,190.34398,82.22,133.90132,58.42,122.39547,jumping
36.5,71.630646,149.68,218.4163,39.72,63.896614,jumping
48.04,102.0276,105.4,170.74266,23.88,44.830585,spiking
91.74,177.33281,87.88,153.5902,54.3,140.50249,spiking
30.3,53.615124,100.64,149.1847,50.14,81.174286,spiking
61.48,130.75703,110.74,192.30489,30.78,80.79713,spiking
93.42,176.00441,111.42,177.70984,39.46,108.73939,spiking
68.4,147.5986,95.78,175.44269,43.34,106.231285,spiking
79.02,163.33246,102.84,166.95743,21.12,77.96773,spiking
69.28,143.84288,113.62,201.36765,37.02,102.79393,spiking
70.54,152.42816,114.22,183.60599,24.36,81.4493,spiking
61.2,149.51431,76.64,157.52843,49.96,126.49706,spiking
40.28,73.07447,117.24,166.79517,56.6,83.74499,spiking
56.24,146.56969,83.02,161.97083,49.38,130.82375,spiking
41.3,127.483696,104.6,191.91357,41.96,123.010864,spiking
67.64,140.40492,115.38,174.2514,41.62,72.29388,spiking
59.92,130.083,111.18,183.79602,13.34,64.91962,spiking
79.82,165.47406,107.76,176.89572,22.54,81.31601,spiking
71.88,152.89687,116.0,208.785,26.5,100.24668,spiking
76.68,164.26155,106.64,175.90392,16.94,74.27429,spiking
50.26,87.01041,117.32,167.13461,56.96,81.78418,spiking
70.36,161.85097,81.22,165.71602,42.52,110.897865,spiking
33.52,66.442,113.04,160.30048,49.0,77.158195,spiking
42.4,118.9613,102.44,187.33092,27.38,106.017494,spiking
48.16,118.4861,88.68,143.54497,53.44,80.65754,spiking
66.1,151.32033,119.66,205.69409,37.1,117.87667,spiking
41.1,73.5794,97.84,162.71591,51.3,79.56215,spiking
72.16,151.05391,100.62,169.1163,39.18,108.78807,spiking
108.42,165.51701,165.64,233.89363,102.34,169.30249,spiking
53.4,140.22708,115.38,195.35786,31.32,111.7434,spiking
36.64,88.68489,130.26,195.92043,58.02,89.36317,spiking
83.0,124.4088,121.66,181.80609,60.88,90.14876,spiking
58.82,143.61069,117.76,197.28622,28.88,103.92553,spiking
45.34,88.52938,135.86,206.0454,62.66,89.32847,spiking
65.54,150.20724,121.16,209.57262,36.52,119.957016,spiking
29.54,79.605194,103.46,159.0346,49.86,84.38542,spiking
43.68,74.974945,141.64,202.17827,64.0,90.50539,spiking
59.82,141.20844,94.38,164.46881,44.76,119.295135,spiking
44.4,111.35235,125.72,196.69785,55.9,85.155624,spiking
77.82,115.09529,129.66,184.56586,56.58,82.00574,spiking
83.64,170.28735,120.76,207.15868,41.4,116.07298,spiking
36.94,94.65672,99.24,170.0296,37.92,77.40692,spiking
59.5,134.81224,120.68,196.11403,10.24,27.058939,spiking
90.18,183.02634,96.82,169.50873,41.0,126.33951,spiking
33.02,66.006645,110.96,156.93636,51.1,80.714455,spiking
80.42,145.91614,69.64,99.790955,58.74,89.6453,setting
87.1,148.04979,67.46,106.058365,50.32,89.03437,setting
86.06,157.92514,60.92,108.42204,63.5,127.917915,setting
79.78,149.48064,71.26,110.59354,53.14,92.695915,setting
77.86,143.92572,74.48,113.41332,53.72,89.11768,setting
73.24,140.84389,74.4,113.01886,54.26,91.26364,setting
78.6,143.34486,75.34,113.55707,55.84,92.23116,setting
84.9,146.62144,69.06,103.50814,58.62,93.99584,setting
90.04,148.19446,66.64,100.53565,53.78,89.76052,setting
89.38,150.29362,66.42,105.84531,51.8,99.30287,setting
86.04,149.10234,68.38,113.3652,55.82,103.16278,setting
86.98,150.4865,62.54,105.4408,65.58,117.61144,setting
84.42,149.42693,66.16,107.25697,58.38,112.96845,setting
83.24,151.2969,66.88,110.950745,56.76,118.4534,setting
79.74,141.48079,68.14,103.13672,51.92,87.97632,setting
82.42,150.17555,67.42,102.41534,61.12,109.76055,setting
93.82,149.49174,70.6,116.18021,54.6,103.94112,setting
84.7,151.57785,71.48,112.572556,62.14,108.59023,setting
88.14,148.2857,66.88,113.302315,66.9,113.271805,setting
82.36,152.35213,63.46,106.3301,66.9,119.30551,setting
78.22,150.62134,72.64,109.244675,58.7,104.60718,setting
85.86,140.62297,71.72,107.853836,54.78,90.562256,setting
82.9,154.8651,69.46,108.90179,56.3,110.73488,setting
84.78,154.82513,64.76,101.277054,57.44,104.39431,setting
90.4,153.75304,70.24,109.44471,58.5,107.12005,setting
79.88,139.2217,79.04,113.13222,58.96,92.71945,setting
85.34,144.6346,66.28,99.52151,51.42,83.54592,setting
105.56,164.31644,97.36,140.33614,65.64,99.35995,setting
85.68,146.72331,81.48,128.1234,56.86,86.62493,setting
101.5,149.63472,78.34,114.408966,61.82,96.64827,setting
101.02,148.0194,85.72,141.86658,52.2,94.785484,setting
97.0,160.63269,85.14,139.07344,61.32,106.255646,setting
98.32,150.32082,80.86,129.24712,60.52,102.54242,setting
97.3,166.55443,142.94,206.87761,73.44,139.574,recieving
82.1,123.41306,123.7,176.54475,79.74,120.68561,recieving
89.4,128.1767,125.42,179.55867,78.28,116.629196,recieving
99.72,144.84335,148.08,210.91954,68.24,110.460014,recieving
75.86,136.75331,136.46,203.61679,91.76,135.08916,recieving
95.84,149.86366,134.98,192.50365,82.62,122.995415,recieving
79.74,127.996155,117.3,178.01772,93.6,134.86562,recieving
74.5,129.71571,145.04,206.17348,85.18,121.1317,recieving
81.62,125.78941,127.0,189.7146,89.58,130.23732,recieving
79.7,120.83812,128.44,192.75896,94.32,135.57504,recieving
83.88,144.62727,122.24,186.25351,89.3,131.15628,recieving
77.44,119.27299,121.7,172.69029,82.86,123.44645,recieving
90.42,134.57886,128.88,194.39372,75.12,116.121796,recieving
90.76,129.00128,125.9,180.06816,83.6,124.44144,recieving
78.4,126.716774,121.14,183.51588,85.12,121.098976,recieving
87.14,134.68451,124.78,179.01112,84.14,125.52761,recieving
83.8,121.08084,102.1,149.06339,78.84,117.86526,recieving
44.0,72.95568,139.72,202.41893,83.94,119.44453,recieving
82.94,121.719864,126.84,180.41283,79.0,117.94706,recieving
87.48,128.81741,125.52,188.78485,92.18,132.52057,recieving
91.1,152.77158,117.12,177.86977,79.96,116.26029,recieving
85.84,131.32549,125.66,180.48091,86.0,129.11661,recieving
72.52,113.33663,109.9,155.84193,72.42,106.80767,recieving
86.76,134.55348,120.36,171.02007,83.06,123.79088,recieving
92.5,146.59251,124.08,184.30133,83.0,119.30136,recieving
85.62,142.53633,122.6,177.31657,83.46,128.90483,recieving
83.08,120.84548,125.94,188.54095,87.88,126.66567,recieving
88.86,150.65259,128.46,195.31004,72.94,105.96581,recieving
92.64,141.18488,141.22,202.08748,82.58,124.39882,recieving
75.5,109.54493,127.86,188.64577,73.32,106.950195,recieving
72.46,132.98738,142.0,203.88715,80.06,124.391975,recieving
81.84,124.70004,120.98,183.76953,85.5,125.77632,recieving
90.94,133.96638,135.52,192.36691,80.14,118.80564,recieving
80.24,117.93454,140.36,199.60231,79.64,119.00173,recieving
68.4,116.18072,139.54,199.86996,83.18,127.94686,recieving
78.4,113.20596,118.82,177.28287,88.62,129.61037,recieving
69.38,129.1746,124.88,183.3435,81.34,126.83406,recieving
91.22,145.89937,120.1,180.96153,81.96,117.24526,recieving
95.4,152.58546,119.12,171.24724,75.5,114.01238,recieving
84.06,138.19707,108.18,169.4208,77.92,112.42736,recieving
