@relation VBTrain_S2
@attribute m_x numeric
@attribute sd_x numeric
@attribute m_y numeric
@attribute sd_y numeric
@attribute m_z numeric
@attribute sd_z numeric
@attribute label {jumping, spiking,setting,recieving,moving}
@data
-109.333336,775.08136,263.38333,592.2518,55.533333,221.7208,jumping
-163.95555,781.78375,345.09445,816.6205,-7.211111,239.52853,jumping
-103.55556,871.2915,355.1889,811.23535,-9.944445,263.63065,jumping
-223.33333,535.00946,550.29443,846.9597,38.266666,93.70003,jumping
-91.81111,737.9763,326.35556,772.4536,11.777778,227.44586,jumping
-218.2111,539.3829,529.1389,817.07654,72.78889,191.86526,jumping
-72.28333,703.61035,201.8,574.3246,41.872223,287.83945,jumping
-39.505554,620.54364,226.08888,592.10205,26.727777,237.11206,jumping
-190.90555,688.1151,404.02777,836.7913,42.038887,206.23898,jumping
-171.7,770.2488,306.77222,767.762,9.561111,229.71793,jumping
-256.7611,605.9931,452.27222,771.4508,86.98889,176.62405,jumping
-45.77222,660.01013,213.38333,627.7044,9.927778,172.92474,jumping
-69.905556,718.8512,330.6389,742.2358,33.038887,272.21158,jumping
-239.65555,823.9174,208.75,667.4815,-48.95,496.02194,spiking
-295.0,884.2998,131.82777,551.84094,-35.383335,501.18716,spiking
-288.4389,817.23016,259.6389,583.7988,-35.933334,406.70898,spiking
-194.76111,891.5521,203.65,704.6887,-138.72223,600.622,spiking
-185.53334,885.2622,156.85556,683.37836,-165.28334,645.5728,spiking
-185.2889,881.2557,155.23889,696.9787,-92.03889,608.18896,spiking
-146.00555,863.5509,88.15,615.23145,73.51667,725.426,spiking
-117.04444,825.80743,132.82777,747.33057,84.005554,752.2706,spiking
-206.60556,630.151,-43.005554,212.63304,-48.422222,431.95242,spiking
-258.49445,726.2632,54.738888,379.4084,-110.244446,433.03903,spiking
-309.40555,739.80054,48.16111,505.81735,-79.0,437.99527,spiking
-273.48334,816.9673,98.87222,444.7049,-91.41111,487.0197,spiking
-172.72223,657.1546,77.98889,574.3377,-98.638885,446.66708,spiking
-301.29443,615.0605,-32.966667,423.92365,-95.53889,386.61636,spiking
-291.1389,813.2007,82.51667,556.73346,-105.65,403.89383,spiking
-197.54445,891.9591,135.57777,664.5482,-128.79445,568.584,spiking
-313.16666,760.8147,70.48333,501.00787,-33.11111,428.28598,spiking
-175.82777,769.25543,121.25,558.0713,150.20555,700.5343,spiking
-312.53888,569.21436,196.2889,289.7291,70.75,130.15936,spiking
-277.38333,846.71106,124.76667,622.6966,-63.877777,539.0614,spiking
-250.67778,729.8224,79.5,390.40036,-81.25,349.89548,spiking
-242.45555,471.67368,-9.35,203.12938,8.405556,328.66183,setting
-240.2889,629.1487,7.3,244.4181,37.505554,353.36905,setting
-219.44444,673.2303,-36.327778,232.736,42.505554,298.07166,setting
-220.67223,515.1627,-39.016666,191.13336,66.55556,274.79202,setting
-227.45,563.5449,-21.083334,229.1196,28.4,329.3988,setting
-261.87222,512.4105,20.838888,216.5758,29.744444,304.9622,setting
-243.55,673.4861,72.0,372.67682,27.76111,346.8787,setting
-257.36667,526.08746,14.127778,251.34224,32.355556,312.34793,setting
-250.76666,487.4156,-0.07777778,172.44818,41.622223,241.4138,setting
-252.69444,526.9445,34.366665,195.62912,66.172226,243.27718,setting
-246.57777,513.4338,2.5666666,225.46356,17.416666,365.37396,setting
-258.1611,510.1593,33.255554,231.88118,46.83889,319.18423,setting
-245.8,569.0168,19.766666,282.603,15.855556,323.3606,setting
-257.4222,574.6215,27.98889,235.10477,28.905556,295.896,setting
-246.32222,514.3049,24.077778,256.48624,46.177776,302.57886,setting
-234.92778,509.66217,53.538887,267.33063,57.86111,324.47296,setting
-218.2,656.383,-27.577778,276.3725,10.555555,351.16544,setting
-257.65,534.95856,12.955556,194.40312,45.738888,286.2623,setting
