@relation VBTrain_S1
@attribute m_x numeric
@attribute sd_x numeric
@attribute m_y numeric
@attribute sd_y numeric
@attribute m_z numeric
@attribute sd_z numeric
@attribute label {jumping, spiking,setting,recieving,moving}
@data
-42.994446,742.59247,324.9889,831.9973,18.661112,237.2339,jumping
-60.63889,849.21893,355.1389,843.7956,-39.133335,282.65237,jumping
-148.40555,796.8081,323.3,773.56506,10.838889,233.56873,jumping
-206.38333,854.8733,283.4,658.2345,57.22778,252.52466,jumping
-138.56111,796.6305,340.98334,767.79846,57.794445,273.60043,jumping
-62.47778,721.17126,260.50555,699.2555,36.8,179.05565,jumping
-193.08888,817.2044,279.89444,683.75,36.044445,203.54175,jumping
-89.344444,780.1518,315.3278,771.2094,45.894444,236.7464,jumping
-35.016666,669.8251,203.64444,556.23224,19.144444,242.22351,jumping
-74.638885,589.9167,181.72778,511.3084,34.02778,200.75238,jumping
-120.37778,861.5115,330.59445,742.41486,17.422222,289.87497,jumping
-172.85,502.4767,549.9389,874.809,106.75,210.32439,jumping
-239.38889,794.45166,209.41667,687.1146,14.038889,594.1606,spiking
-217.90555,873.11237,283.08334,819.2362,-67.48889,623.0054,spiking
-239.07777,794.0744,247.46666,723.5448,-38.755554,531.44977,spiking
-196.56667,863.6492,296.53888,866.3595,-89.166664,595.51526,spiking
-207.65555,664.4654,179.11667,501.2996,47.655556,510.3939,spiking
-278.89444,808.5164,223.11111,663.4344,-25.183332,499.19553,spiking
-244.45,856.43176,214.28334,693.7264,-20.127777,601.57715,spiking
-263.10556,789.42487,272.0611,703.1522,-68.316666,515.9884,spiking
-196.24445,821.67017,191.28334,701.52655,41.566666,636.7493,spiking
-143.27777,834.9872,297.58334,812.0658,5.1,693.03485,spiking
-137.22778,843.08453,223.13333,754.37915,-18.866667,669.3307,spiking
-232.42223,935.37964,188.15555,667.51953,-90.97222,612.74744,spiking
-245.87778,862.9778,254.36111,767.4081,-68.75,518.6848,spiking
-285.80554,830.9063,134.93889,467.70157,0.7222222,461.80173,spiking
-298.03333,851.389,103.33889,426.2034,16.711111,450.31403,spiking
-256.55554,789.62854,59.644444,420.68143,11.266666,482.4905,spiking
-204.89444,724.9318,363.04443,797.4973,-59.25,450.72772,spiking
-144.77222,847.8998,273.28888,816.25476,-14.811111,637.7818,spiking
-267.5611,834.816,231.77222,704.9515,-29.472221,542.85016,spiking
-239.98334,834.2506,211.5,734.31274,-61.255554,589.86523,spiking
-265.54443,761.5524,167.22778,609.8511,-66.755554,404.48203,spiking
-203.50555,476.2973,-11.288889,254.69417,57.216667,368.59354,setting
-202.92778,580.0742,27.6,323.26126,43.3,365.58636,setting
-229.16112,553.6151,8.7722225,297.3031,32.322224,342.4586,setting
-226.44444,571.33826,9.322222,267.84827,24.227777,345.40503,setting
-230.05,623.06506,19.13889,314.67807,31.633333,326.52463,setting
-222.97778,588.96497,44.261112,324.1792,42.7,326.09418,setting
-247.46666,590.1227,46.577778,361.06265,7.1833334,342.90543,setting
-233.29445,547.2296,35.816666,324.08124,16.005556,294.4478,setting
-253.61667,536.655,29.711111,275.61844,29.794445,287.86346,setting
-225.01111,540.7582,17.872223,260.45892,71.522224,260.65073,setting
-222.55556,611.0529,-44.6,253.46802,53.933334,289.45374,setting
-339.8278,487.17355,41.27222,165.26616,134.26111,208.76198,setting
-264.16666,494.0532,23.727777,228.3185,41.266666,293.28683,setting
-270.65,505.5368,27.061111,202.8927,34.133335,308.44724,setting
-232.21666,443.52274,66.43889,279.84964,56.31111,269.9647,setting
-245.8,466.55576,22.561111,266.02063,31.505556,302.37265,setting
-259.03888,495.917,76.977776,290.19247,39.761112,284.1132,setting
-238.93333,517.0281,88.78333,350.42725,25.65,262.62967,setting
